"Title","Authors","Year","Abstract","DOI","Document type"
"ICT supported extension services in conservation [::agriculture::] information access for small holder farmers in Laikipia County, Kenya","A. J. Cox; H. Sseguya","2015","This paper examines how Information Communication Technologies (ICTs) are used in the Conservation [::Agriculture::] (CA) knowledge pathways. It discusses the parallel knowledge pathways smallholder farmers' use to access conservation [::agriculture::] information. The objective of this study is to develop an effective dissemination model that exploits the use of ICTs in existing pathways in order to improve Conservation [::Agriculture::] knowledge flows. Design, Methodology and Approach: A total of one hundred and twenty-five respondents were interviewed, with a purposively selected sample of 110 CA farmers interviewed using semi-structured questionnaires. Using the snowball method, 15 key informant interviews were conducted with Policy makers and ICT service providers. 69% of the respondents were female and 51% male. The focus of the study was on the different ICTs used in the CA knowledge pathways, the dissemination pathways, institutional and socio-economic factors. Data was analyzed manually and using SSPS ver. 21. Preliminary findings indicate that a variety of knowledge pathways exist through which farmers can access CA knowledge. Four different kinds of ICT led models were identified, Government ICT led models, Government-NGO led models, Government-NGO-Private Sector ICT led model and NGO ICT led models. However the study notes a lack of harmonization and weak linkages between institutions in the utilization of the existing ICT models, utilization of the ICTs access and ownership at the household level and harmonization of the CA messages. Furthermore, even though there was 100% mobile phones ownership, 94% radio, 64% television, 10% Laptop and 9% Computer (desktop) access and ownership among the respondents, farmers and a large number of the extension staff lacked the skills to fully exploit the use of these tools to access CA knowledge. Implication: New emerging and existing communication technologies have a very high potential to improve agricultural knowledge flows if taken advantage of by the ""change agents"" in the diffusion process of new innovations. New online technologies known as Web 2.0 and `social media' are slowly emerging as platforms for collaboration, sharing of product and market information. Open chain models of village information centres also provide numerous economic opportunities, and do also network communities while providing public/private services. The opportunity of using real time communication tools has been greatly embraced especially by the youthful farmers and the advantage of these new emerging tools is their unique attributes, similar to the traditional oral cultures of communication seen in the African social systems where one can see, hold a discussion, get immediate feedback and use the written media to convey messages. The high percentage of ownership and accessibility of ICTs among the survey population also offers the potential to fully exploit ICTs in the improvement of the CA knowledge pathways and agricultural information provision.","10.1109/ISTAS.2015.7439408","IEEE Conferences"
"Mobile based collaborative learning tool to facilitate instructor-mediated informal learning in [::agriculture::]","U. Dissanayeke; A. Perera; K. P. Hewagamage; G. N. Wikramanayake","2015","This paper presents the development and testing of an android application (Agri-Lessons) to facilitate instructor-mediated informal learning in an agricultural community. In a previous experiment, this evaluation was carried out using a mobile SMS based Twitter application and basic phones to find out the effectiveness of mobile learning in [::agriculture::]. In this experiment, we are presenting a mobile application that is developed for Android based smartphones, to promote instructor-mediated informal learning. The paper also presents the evaluation of the app to justify effectiveness. The evaluation was carried out considering a pre-test and post-test to find out knowledge gain. A questionnaire was used to collect the user feedback in an anonymous way. The statistics of evaluation shows that the Agri-Lessons app as highly effective as a learning tool. The App can be further improved to modify the user interface, include a few more functionalities and Sinhalese language. In the future research this app can be improved to include multiple user groups among the farming community.","10.1109/ICTER.2015.7377673","IEEE Conferences"
"CDS project - what is inside","R. Hoad","2004","CDS stands for Community Directory Service. The generalized idea of the CDS means that a community of people/experts on the Internet accumulate and screen information and links found on the Internet and place into a dynamically growing directory (topics with subtopics or subject tree) overseen, structured and controlled by editors who have taken the responsibility to look after the content and structure. Everything is done decentrally through the Internet but on a central server (server group). At the beginning of 2000 the CDS project set out to develop a community of practice Web site for fisheries researchers, so known later as ""OneFish"". The software was rapidly taken up by a number of other FAO customers mainly interested in building thematic hierarchical portals, metadata catalogues and collaborative work group sites. These customers included WCA-Infonet, a global platform for decisions on water conservation and use in [::agriculture::]. As a consequence of the expansion the software requirements evolved rapidly and in unexpected ways. This presentation outlines the history of the project, how the problem of evolving requirements was tackled, how the requirements shaped the software architecture and the software development method employed.","10.1109/ICTTA.2004.1307661","IEEE Conferences"
"Towards enabling tacit knowledge externalization using mobile phone: The case of participatory agricultural innovation in Ethiopia","G. Semeon; M. Garfield; M. Meshesha","2015","Mobile technology has huge potential to address challenges in the areas of tacit knowledge elicitation, capturing, sharing and integration in participatory agricultural innovation where farming communities are actively involving. Past studies emphasized the behavioral and managerial perspectives of tacit knowledge and limited studies have been conducted from ICT perspective. Those ICT related studies focused more on advanced technologies including Web 2.0, [::groupware::], audio &amp; videoconferencing tools which are beyond the reach of the rural communities. The purpose of this study is therefore, to identify various mechanisms of tacit knowledge elicitation and sharing in participatory agricultural research process and explore how mobile based application can enhance the process. The output of the study will contribute to the development of mobile-enabled communication system that can further enhance participatory agricultural innovation through facilitating articulation, capturing, sharing and integration of tacit knowledge of multiple stakeholders including farmers.","10.1109/AFRCON.2015.7332021","IEEE Conferences"
"Autonomous and collaborative learning environment for vocabulary acquirement","Keeichi Kaneko; Kazunori Hasegawa; Xin Jin; Masatoshi Ishikawa; Norihide Shinagawa; Haruko Miyakoda","2008","We have implemented the PHI system that can be used to acquire vocabularies by using iPods. In addition, we have developed the PSI system that can be used to create learning materials for PHI. In this study, we investigate the possibility of autonomous and collaborative vocabulary acquirement of the learners by using these systems and give the design principle of an environment that promotes autonomous and collaborative learning.","10.1109/ITI.2008.4588398","IEEE Conferences"
"Collaborative information management in agricultural products supply chain in China: A case study of Wumart","W. Wang","2014","The uncertainty of information flows in the supply chain management reflects operational efficiency of the supply chain, and the supply chain structure would affect the operation of the supply chain information. Collaborative information management is the key to improve the creativity and competitiveness of the whole supply chain. In this paper, we first summarize four typical modes of agricultural product supply chain in China based on the current situation and future trends: Agricultural products wholesale market oriented mode, agricultural products processing enterprises oriented mode, large-scale retail enterprises oriented mode, agricultural products logistics oriented mode. Secondly, through exploratory analysis with the agricultural product supply chain practices of “[::agriculture::] super docking” in Wumart, we propose a collaborative information management strategy in agricultural products supply chain in china. Finally, a brief discussion and summary was given.","10.1109/CCDC.2014.6852802","IEEE Conferences"
"General requirements to design mobile shared workspaces","V. Herskovic; S. F. Ochoa; J. A. Pino; A. Neyem","2008","Traditionally, collaborative systems have been difficult to conceive, design and implement. Although several requirements involved in these products are recurrent, some become invisible to clients and developers because they are part of the product back- end. This situation is worse in the case of mobile [::groupware::] because the general requirements to support mobile collaboration are still unclear. This paper presents a framework of general requirements that are usually present in mobile shared workspaces. These requirements are not always visible; therefore the framework acts as a checklist helping developers to consider them. Thus, the framework could increase the success probability of mobile shared workspaces.","10.1109/CSCWD.2008.4537043","IEEE Conferences"
"Role of smartphone in rural development: A case study of Kashmir","M. A. Dar","2016","Smart phones are changing the lives of millions of users worldwide because of their innovative, often free apps pertaining to different fields of life. As they are cheap and have almost all the functionalities of a desktop Pc, they can be used for the development of rural India. The success of the projects like e-Governance and digital India are possible with the help of theses smart phones as it can be afforded by the common citizen of India. Smart phones are making inroads in people's lives for one major reason - the astonishing growth in cheap, often free, software applications, or apps as they have come to be known. A Smartphone is almost like having a small computer right in the palm of your hand. It provides access to information and opportunities for collaboration. Activities that work well on smart phones are often audiovisual, things that incorporate pictures and video. As more applications become available, the more useful smart phones will become. A Smartphone can be a productivity tool in almost every field of life potentially to Kashmir valley where underdevelopment and unfavorable conditions are unavoidable. This paper identifies how mobile technology is poised to revolutionize business opportunities, deploy efficient healthcare, imparting employment oriented education, efficient deployment of resources and manpower even in the unfavorable conditions in Kashmir Valley. Technologies like Android, Aakash Tablets which drastically changed the mechanism of teaching, manner in which students are using them and are used in cost-effective and efficient manner in Kashmir Valley, are also discussed in this paper.","10.1109/TIAR.2016.7801239","IEEE Conferences"
"Notice of Retraction<BR>Research on SCM practices for volatile demand","Liu Ying; Wang Huili; Su Wei","2010","Data exchange is often recognized as an effective approach for supply chain collaboration. In volatile demand environment, however, this approach will not be sufficient. Research on recent practices is summarized in this paper to guide organizations in violate demand supply chains, including establishing a cross-functional support structure, developing mutual success-oriented processes, and technical infrastructure alignment with the processes.;Notice of Retraction<BR><BR>After careful and considered review of the content of this paper by a duly constituted expert committee, this paper has been found to be in violation of IEEE's Publication Principles.<BR><BR>We hereby retract the content of this paper. Reasonable effort should be made to remove all past references to this paper.<BR><BR>The presenting author of this paper has the option to appeal this decision by contacting TPII@ieee.org.<BR><BR>","10.1109/CCTAE.2010.5544162","IEEE Conferences"
"Study of the strategy and technology for the integrated information platform of 4PL based on collaborative commerce","Xuefang Xiu; Jing Zheng","2010","The collaborative operation of each enterprise of the 4PL based on the integrated information platform. Good integrated strategy and advanced technology accelerate the operation of the integrated information platform. It is the essential for the 4PL to assembles and manages the resources, capabilities, and technology of its own organization. It provides the collective services and environment to eliminate “information isolated island” among the enterprises of 4PL. The platform integrates valuable system and is directed to quick respond to customer's demands. It provide feasible products pack and professional service management skills to improve customer's supply chain quality and efficiency and therefore to lower the entire logistics cost.","10.1109/CCTAE.2010.5543411","IEEE Conferences"
"A CSCL model based on MAS and group awareness","Yan Zhang; Jing Xu","2010","Regarding the lack of effective awareness mechanisms in present CSCL, the application of learning-Agent which has awareness function model to the CSCL was proposed. The function of awareness intensity was defined, and the process of awareness information was described. Some general problems in present CSCL, such as poor performance of group interaction, and disorder of awareness information, were solved by giving a better solution.","10.1109/CCTAE.2010.5543651","IEEE Conferences"
"A framework for collaborative, adaptive and cost sensitive intrusion response system","A. J. Ikuomola; A. S. Sodiya; J. O. Nehinbe","2010","In recent years, the security issues on computer networks have become one of the primary concerns because the pervasiveness of computer technology has rendered computer networks to be more vulnerable to attacks than ever before. It is necessary to take corrective actions in the process of detecting surreptitious attacks to ensure proper safety of the entire system. However, effective post-intrusive actions depend on integrated efforts of experts and systems and a thorough understanding of intrusion detection processes. Therefore, this work aims to strike a balance between damages made by the intrusion and cost of response. Cost-Sensitive modeling approach will be used so as to define the cost factors involved. The prototype of the design is briefly discussed.","10.1109/CEEC.2010.5606485","IEEE Conferences"
"Collaborative effort in the Frascati Living Lab","E. Schoepfer; A. Rossi; F. Bertoldi; L. Fusco; R. Santoro","2008","Living labs are innovation platforms that bring together and involve all stakeholders, such as end-users, researchers, industrialists, policy makers, etc., at the earlier stage of the innovation process, in order to experiment breakthrough concepts and potential value for both the society and users. The Frascati Living Lab (partner of the ENoLL since 2006) aims to experiment a dynamic dedicated collaborative platform to support the development in real life scenarios, experimentation and operations of innovative applications involving incubation processes and more traditional applications in sectors such as environment, [::agriculture::] and tourism as well as eProfessional services. The paper introduces the basic collaborative elements (users, services and data) and stresses on the relationships among them. Based on a pilot use case for precision farming the experience of collaborative effort within the Frascati Living Lab is illustrated and discussed.",,"IEEE Conferences"
"Collaborative works at farmer's market with ICT support","T. Takeno; M. Horikawa; M. Sugawara","2008","Recently farmer's market obtains attention of consumer as an alternative distribution channel for green vegetables and fruits in Japan. The market is managed as collaborative enterprise of independent farmers of which most of them are small-scale and aged. We have proposed a business model for the market and implemented information systems of inventory control and web promotion. The system is characterized with e-mail stock level notification by mobile phone and easy maintenance of contents such as text and pictures for aged farmers in web pages. We have introduced proposed model and system into actual farmer's market with several explanatory meetings and trainings to use PC. With one year operation in the market, we have achieved about 10% increase in visiting consumers and annual sales.",,"IEEE Conferences"
"Development of a Knowledge Management System Integrated with Local Communication Channels and Knowledge Management Initiatives for Kenyan Rural Farming Communities","N. M. A. E. D. Wirastuti; R. Luckin; R. E. Sheriff; K. Walker; J. Underwood; L. Dunckley","2008","This paper presents an innovative application of wireless, mobile and ubiquitous technologies to support informal and collaborative learning in Kenyan rural farming communities. Such an approach is achieved by the development of a knowledge management system (KMS) integrated with existing local community communication channels, together with experimental knowledge management (KM) initiatives employing the VeSeL (Village e-Science for Life) distributed resource kits (DRKs). The initiatives support illiterate and semi-literate farming community groups, in learning new [::agriculture::] practices, and also enable the use of advanced digital technology to improve their agricultural practices and literacy levels. Results of a recent field trip to Kenya are presented and an application sketch is developed. The process of applying wireless and Internet technologies for the education of local farming communities, using irrigation and water management as the application, concludes the paper.","10.1109/WMUTE.2008.18","IEEE Conferences"
"Technology of agent-based crop collaborative simulation and management decision","Z. Ye-ping; L. Sheng-ping","2011","In distributed networking environments, traditional agricultural information systems perform weakly on complex decision problems. To deal with that, for the agent technique has the characteristics of intelligence, interaction and collaboration, a new technique of the agent-based cooperative crop simulation and the design and implement of its decision support system are proposed. The collaborative crop simulation framework and its collaboration mechanism are introduced, which will offer a new way for crop information sharing, software sharing, collaborative working and group decision making in distributed environments.",,"IEEE Conferences"
"Value Chain Creation through Digital Innovation: The Ebb and Flow of Communality and Connectivity in a Networked Interorganizational System","K. Guth; M. S. Poole","2015","Communality and connectivity are types of public goods offered in online spaces. As theoretical concepts, they provide design insight for the creation and understanding of interorganizational collaboration tools in multisided networks and value chains. In this paper, we present an extension of communality and connectivity that enables an examination of how organizations create value with networked organization-to-organization (O2O) systems. We use the framework as a lens for a case study involving the historical development of an online technology and its organization (MarketMaker) over 16 years that reframed the backbone of the agricultural market in the U.S. From a supply chain to a network. MarketMaker successfully interwove consumers, farmers, universities, government agencies, and states based on its innovation to connect stakeholders in novel ways around information and communication. As a central system in reconfiguring the value chain, MarketMaker provided services to the food industry not previously enabled. A number of important lessons learned about effective use of communality and connectivity are discussed.","10.1109/HICSS.2015.502","IEEE Conferences"
"A Visual Computer Simulator and its Applications to An ICT-based Higher Education","Y. Imai; K. Kaneko; M. Nakagawa","2006","A visual computer simulator, called ""VisuSim"", has been developed and applied to real education for Computer Science at Kagawa University. It is one of educational tools associated with lectures on computer architecture and assembly programming. The simulator is written in the pure Java programming language, executed in several kinds of environment (free for types of OS and CPU) and invoked in the applet mode as well as in the stand-alone one. Typical usages of our simulator are two-fold. Teachers employ our simulator, ""VisuSim"" to demonstrate visually how a computer processes its program. Students use the simulators in class or access our Website, download ""VisuSim"", and invoke applet-based ""VisuSim"" on their browsers. After receiving feedback from users, we have provided communication support facility as a new function of ""VisuSim"". With such a communication facility, can send their programs, ask questions on them to their classmates and the classmates can test received programs with their ""VisuSim"" to think together about the questions","10.1109/ITHET.2006.339722","IEEE Conferences"
"Distributed Collaborative Control Using Wireless Sensor and Actuator Networks","X. Cao; J. Chen; Y. Xiao; Y. Sun","2008","Wireless sensor and actuator networks (WSANs) in which actuators perform actuation based on sensory information exhibit great potential in environment control, building automation, [::agriculture::], etc. In this paper, we focus on the problem of designing control methods for actuators to control the environment and meet user requirements based only on local sensory information. A novel distributed collaborative control strategy is proposed and shows good performance under system noises and communication unreliability.","10.1109/FGCN.2008.20","IEEE Conferences"
