"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2732756","Omar  Mubin and Joshua  Tubb and Mauricio  Novoa and Mustafa  Naseem and Samia  Razaq","","","","Understanding the Needs of Pakistani Farmers and the Prospects of an ICT Intervention","1109--1114","","6","D4D, ICT4D, agriculture","10.1145/2702613.2732756","","","","","","","2015","","Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '15","","978-1-4503-3146-3","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","3027075","Ankita  Raturi and Juliet  Norton and Bill  Tomlinson and Eli  Blevis and Lynn  Dombrowski","","","","Designing Sustainable Food Systems","609--616","","8","agriculture, design, food, sustainable HCI","10.1145/3027063.3027075","","","","","","","2017","","Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '17","","978-1-4503-4656-6","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","1753939","Tad  Hirsch and Phoebe  Sengers and Eli  Blevis and Richard  Beckwith and Tapan  Parikh","","","","Making Food, Producing Sustainability","3147--3150","","4","agriculture, fishery, food production, permaculture, sustainability, sustainable HCI, urban agriculture","10.1145/1753846.1753939","","","","","","","2010","","CHI '10 Extended Abstracts on Human Factors in Computing Systems","CHI EA '10","","978-1-60558-930-5","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","1358749","Kevin  Walker and Joshua  Underwood and Tim  Waema and Lynne  Dunckley and Jos&#233;  Abdelnour-Nocera and Rosemary  Luckin and Cecilia  Oyugi and Souleymane  Camara","","","","A Resource Kit for Participatory Socio-technical Design in Rural Kenya","2709--2714","","6","agriculture, culture, development, mobile, usability","10.1145/1358628.1358749","","","","","","","2008","","CHI '08 Extended Abstracts on Human Factors in Computing Systems","CHI EA '08","","978-1-60558-012-8","Florence, Italy","ACM","New York, NY, USA"
"article","2780364","Novia  Admodisastro and Siti Nurliana Jamali and Azrina  Kamaruddin and Jamilah  Din and Sa'adah  Hassan","","","","Design Metaphor to Improve Usability of User Interface for Paddy Farmers in Malaysia","24--27","","4","agriculture, design metaphors, paddy farmers, user interface usability","10.1145/2776888.2780364","","","","","","","2015","","Proceedings of the ASEAN CHI Symposium'15","ASEAN CHI Symposium'15","","978-1-4503-3625-3","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","2559213","Winyu  Chinthammit and Henry Been-Lirn  Duh and Jun  Rekimoto","","","","HCI in Food Product Innovation","1111--1114","","4","agriculture, decision-making tool, food product, interaction design","10.1145/2559206.2559213","","","","","","","2014","","CHI '14 Extended Abstracts on Human Factors in Computing Systems","CHI EA '14","","978-1-4503-2474-8","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","2732894","Fiona  Redhead and Stephen  Snow and Dhaval  Vyas and Owen  Bawden and Ray  Russell and Tristan  Perez and Margot  Brereton","","","","Bringing the Farmer Perspective to Agricultural Robots","1067--1072","","6","agricultural robots, computer-human interaction, human-robot interface, multi-cooperative-robots","10.1145/2702613.2732894","","","","","","","2015","","Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '15","","978-1-4503-3146-3","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","1520405","Michael R. Van Waardhuizen and Catherine E. Peloquin and Uttam  Kokil","","","","CropConnect: Enabling Community Supported Agriculture","2799--2804","","6","community supported agriculture, contextual inquiry, prototype, user centered design, web-based system","10.1145/1520340.1520405","","","","","","","2009","","CHI '09 Extended Abstracts on Human Factors in Computing Systems","CHI EA '09","","978-1-60558-247-4","Boston, MA, USA","ACM","New York, NY, USA"
"article","2574792","Sara  Heitlinger and Nick  Bryan-Kinns and Janis  Jefferies","","","","The Talking Plants: An Interactive System for Grassroots Urban Food-growing Communities","459--462","","4","care, collective action, community, education, grassroots, human food interaction, participation, sustainability, sustainable hci, urban agriculture","10.1145/2559206.2574792","","","","","","","2014","","CHI '14 Extended Abstracts on Human Factors in Computing Systems","CHI EA '14","","978-1-4503-2474-8","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","2574819","Rax Chun Lung  Suen and Klarissa T.T. Chang and Maffee Peng-Hui  Wan and Yeow Chuan  Ng and Bernard C.Y. Tan","","","","Interactive Experiences Designed for Agricultural Communities","551--554","","4","agriculture, farmers, interface, middle of pyramid, mobile, semi-literate, web application","10.1145/2559206.2574819","","","","","","","2014","","CHI '14 Extended Abstracts on Human Factors in Computing Systems","CHI EA '14","","978-1-4503-2474-8","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","1520486","Rajasee  Rege","","","","Designing Interactive Information Access Technologies for Small Scale Rural Indian Farmers","3359--3364","","6","agricultural information access, food, interaction design, small scale rural farming, sustainability","10.1145/1520340.1520486","","","","","","","2009","","CHI '09 Extended Abstracts on Human Factors in Computing Systems","CHI EA '09","","978-1-60558-247-4","Boston, MA, USA","ACM","New York, NY, USA"
"article","1753896","Neil  Patel","","","","Designing and Evaluating Voice-based Virtual Communities","2963--2966","","4","agriculture, forum, ictd, india, ivr, literacy, rural development, social media, voice user interface","10.1145/1753846.1753896","","","","","","","2010","","CHI '10 Extended Abstracts on Human Factors in Computing Systems","CHI EA '10","","978-1-60558-930-5","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","1753465","Leonardo  Bonanni and Matthew  Hockenberry and David  Zwarg and Chris  Csikszentmihalyi and Hiroshi  Ishii","","","","Small Business Applications of Sourcemap: A Web Tool for Sustainable Design and Supply Chain Transparency","937--946","","10","agriculture, food and drink, hospitality, life cycle assessment, marketing, participatory design, product design, small business, social networks, supply chain, sustainability, transparency","10.1145/1753326.1753465","","","","","","","2010","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '10","","978-1-60558-929-9","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2892577","Barath  Raghavan and Bonnie  Nardi and Sarah T. Lovell and Juliet  Norton and Bill  Tomlinson and Donald J. Patterson","","","","Computational Agroecology: Sustainable Food Ecosystem Design","423--435","","13","agroecology, sustainable hci","10.1145/2851581.2892577","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","San Jose, California, USA","ACM","New York, NY, USA"
"article","2892527","Syed  Ali and Harris  Durrani and Muhammad  Naeem and Waleed  Riaz and Suleman  Shahid","","","","Supporting Pakistani Farmers Through Digital Means: An Exploratory Study","2299--2305","","7","ICT intervention, Pakistan, farmers, punjab","10.1145/2851581.2892527","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","San Jose, California, USA","ACM","New York, NY, USA"
"article","2574826","Juliet  Norton and Sahand  Nayebaziz and Sean  Burke and B. Jack Pan and Bill  Tomlinson","","","","Plant Guild Composer: An Interactive Online System to Support Back Yard Food Production","523--526","","4","community, design tool, food, plant guilds, sustainability","10.1145/2559206.2574826","","","","","","","2014","","CHI '14 Extended Abstracts on Human Factors in Computing Systems","CHI EA '14","","978-1-4503-2474-8","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","1125746","Madelaine  Plauch&#233; and Madhu  Prabaker","","","","Tamil Market: A Spoken Dialog System for Rural India","1619--1624","","6","IT, India, literacy, speech, user interface","10.1145/1125451.1125746","","","","","","","2006","","CHI '06 Extended Abstracts on Human Factors in Computing Systems","CHI EA '06","","1-59593-298-4","Montr&#233;al, Qu&#233;bec, Canada","ACM","New York, NY, USA"
"article","1979152","Elisa  Oreglia and Ying  Liu and Wei  Zhao","","","","Designing for Emerging Rural Users: Experiences from China","1433--1436","","4","emerging regions, intermediated technology use, rural china","10.1145/1978942.1979152","","","","","","","2011","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '11","","978-1-4503-0228-9","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","1753434","Neil  Patel and Deepti  Chittamuru and Anupam  Jain and Paresh  Dave and Tapan S. Parikh","","","","Avaaj Otalo: A Field Study of an Interactive Voice Forum for Small Farmers in Rural India","733--742","","10","ictd, india, ivr, voice forum, voice user interface","10.1145/1753326.1753434","","","","","","","2010","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '10","","978-1-60558-929-9","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2581207","Takahiro  Tanaka and Niels  Taatgen and Kazuaki  Aoki and Kinya  Fujita","","","","Resumption Lag at Interruptible Timing Might Not Be Short in Actual Environment","1801--1806","","6","application switching., cognitive cost, interruptibility, task breakpoint","10.1145/2559206.2581207","","","","","","","2014","","CHI '14 Extended Abstracts on Human Factors in Computing Systems","CHI EA '14","","978-1-4503-2474-8","Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","2732825","Yasumasa  Kobayashi and Takahiro  Tanaka and Kazuaki  Aoki and Kinya  Fujita","","","","Automatic Delivery Timing Control of Incoming Email Based on User Interruptibility","1779--1784","","6","email, interruptibility, interruption, work efficiency","10.1145/2702613.2732825","","","","","","","2015","","Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '15","","978-1-4503-3146-3","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","2481392","Sebastien  Cuendet and Indrani  Medhi and Kalika  Bali and Edward  Cutrell","","","","VideoKheti: Making Video Content Accessible to Low-literate and Novice Users","2833--2842","","10","hci4d, ictd, low-literate users, mobile design, multimodal interfaces, novice users, speech interface","10.1145/2470654.2481392","","","","","","","2013","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '13","","978-1-4503-1899-0","Paris, France","ACM","New York, NY, USA"
"article","1753675","Enrico  Costanza and Jacques  Panchard and Guillaume  Zufferey and Julien  Nembrini and Julien  Freudiger and Jeffrey  Huang and Jean-Pierre  Hubaux","","","","SensorTune: A Mobile Auditory Interface for DIY Wireless Sensor Networks","2317--2326","","10","mobile hci, network deployment, sonification, user study, wireless sensor network","10.1145/1753326.1753675","","","","","","","2010","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '10","","978-1-60558-929-9","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2212433","Mario  Barrenechea and Joshua  Barron and Joanne  White","","","","No Place Like Home: Pet-to-family Reunification After Disaster","1237--1242","","6","crisis informatics, digital volunteerism, disaster, pet reunification","10.1145/2212776.2212433","","","","","","","2012","","CHI '12 Extended Abstracts on Human Factors in Computing Systems","CHI EA '12","","978-1-4503-1016-1","Austin, Texas, USA","ACM","New York, NY, USA"
"article","3058589","Indrani  Medhi Thies","","","","SIGCHI Social Impact Award Talk -- Designing for Low-Literate Users","8--9","","2","design, low-literacy","10.1145/3027063.3058589","","","","","","","2017","","Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '17","","978-1-4503-4656-6","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","260121","Masaki  Nakagawa and Kimiyoshi  Machii and Naoki  Kato and Toshio  Souya","","","","Lazy Recognition As a Principle of Pen Interfaces","89--90","","2","","10.1145/259964.260121","","","","","","","1993","","INTERACT '93 and CHI '93 Conference Companion on Human Factors in Computing Systems","CHI '93","","0-89791-574-7","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","169066","Colin  Ware and Kevin  Arthur and Kellogg S. Booth","","","","Fish Tank Virtual Reality","37--42","","6","head coupled displays, scientific visualization, stereopsis, virtual reality","10.1145/169059.169066","","","","","","","1993","","Proceedings of the INTERACT '93 and CHI '93 Conference on Human Factors in Computing Systems","CHI '93","","0-89791-575-5","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","1979866","Mizuki  Oka and Tom  Hope and Yasuhiro  Hashimoto and Ryoko  Uno and Myeong-Hee  Lee","","","","A Collective Map to Capture Human Behavior for the Design of Public Spaces","1909--1914","","6","design, life-logging, micro-blogging, public space, sensing","10.1145/1979742.1979866","","","","","","","2011","","CHI '11 Extended Abstracts on Human Factors in Computing Systems","CHI EA '11","","978-1-4503-0268-5","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","2892416","Jon  Back and Caspar  Heeffer and Susan  Paget and Andreas  Rau and Eva-Lotta  Salln&#228;s Pysander and Annika  Waern","","","","Designing Children's Digital-Physical Play in Natural Outdoors Settings","1359--1366","","8","interactive play, landscape architecture, playscape","10.1145/2851581.2892416","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","San Jose, California, USA","ACM","New York, NY, USA"
